ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE
00001Q15YJ,50,M,"4,45,344",439,0
00003I71CQ,35,M,"1,07,634",283,0
00003N47FS,59,F,"5,02,787",390,1
00005H41DE,43,M,"5,85,664",475,0
00007E17UM,39,F,"7,05,723",497,1
00007I26OR,28,F,"3,89,995",443,1
00015B11UO,54,M,"85,056",425,0
00020K99TA,28,F,"4,53,584",173,0
00020W72QC,25,F,"3,24,575",300,0
00022F48XA,47,M,"3,63,206",474,1
00026X43XZ,61,M,"2,92,983",210,0
00031Q27QZ,33,F,"4,38,941",100,1
00032B38ZX,50,M,"4,78,445",329,1
00033C02IM,25,M,"2,77,729",430,1
00034P01OK,45,M,"3,85,604",492,1
00038B31VO,51,F,"1,59,413",585,1
00039X03RX,25,M,"2,27,439",23,0
00040B49KN,43,M,"5,72,440",356,0
00040O73KD,35,M,"2,40,251",536,1
